,inscription_date,birth_date,age,university,career,nombre,email,sexo,location,postal_code
1203,2019-11-28,2010-01-11,,universidad nacional de jujuy,licenciatura en administración ,angela underwood,michael45@gmail.com,f,isla,
1204,2020-05-11,2016-08-24,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,louis herring,shelley97@gmail.com,m,adolfo alsina,
1205,2020-03-18,1918-11-09,,universidad tecnológica nacional,licenciatura en psicología,craig barnett,palmerbrianna@hotmail.com,m,est jauregui va flandria,
1206,2020-04-11,1910-05-16,,universidad nacional de jujuy,ingeniería mecánica,alicia taylor,diazkaren@yahoo.com,f,campo la flor los ralos,
1207,2020-04-27,1925-05-12,,universidad nacional de jujuy,ciencias veterinarias,cory allen,anthonystark@yahoo.com,m,bañadito viejo,
1208,2019-11-30,1928-11-06,,universidad tecnológica nacional,diseño industrial,cathy gonzales,benjamindickerson@gmail.com,f,atreuco,
1209,2020-03-21,1930-06-07,,universidad tecnológica nacional,licenciatura en ciencias biológicas,anna burns,wchase@gmail.com,f,diamante,
1210,2020-02-15,1968-02-11,,universidad tecnológica nacional,farmacia,victoria jones,whitebrandon@yahoo.com,f,villa lynch,
1211,2020-02-24,2002-06-08,,universidad tecnológica nacional,ingeniería en informática,karen rhodes,upitts@yahoo.com,f,el talar,
1212,2019-11-23,2016-04-29,,universidad nacional de jujuy,licenciatura en artes,alice stewart,john56@hotmail.com,f,balneario chapalco,
1213,2020-06-10,1918-08-09,,universidad tecnológica nacional,farmacia,matthew white,roy71@hotmail.com,m,baños termales,
1214,2019-12-26,1941-12-27,,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,sara anthony,lauren42@yahoo.com,f,atalaya,
1215,2020-03-07,1907-12-22,,universidad tecnológica nacional,contador público ,karen snyder,zrosales@yahoo.com,f,colonia abate,
1216,2019-12-17,1922-05-16,,universidad tecnológica nacional,licenciatura en artes,michael nguyen,qmosley@hotmail.com,m,copacabana,
1217,2020-03-25,1921-02-25,,universidad nacional de jujuy,licenciatura en ciencias biológicas,matthew simon,scottzhang@hotmail.com,m,otto bemberg,
1218,2020-05-04,1929-03-11,,universidad tecnológica nacional,bioquímica,kayla conner,martinphillip@yahoo.com,f,la union,
1219,2019-12-19,1994-06-20,,universidad nacional de jujuy,actuario ,christine jordan,ramirezcharles@yahoo.com,f,aparicio cue,
1220,2019-12-18,1948-09-02,,universidad tecnológica nacional,ciencias veterinarias,cindy mccarthy,oriley@gmail.com,f,cortines,
1221,2020-03-23,1946-04-04,,universidad nacional de jujuy,licenciatura en ciencias biológicas,anthony williams,ethompson@yahoo.com,m,campo el mataco,
1222,2020-06-07,1957-11-30,,universidad tecnológica nacional,licenciatura en artes,andrew hoffman,chasemarc@hotmail.com,m,avenida ejercito parana,
1223,2020-06-06,1945-07-09,,universidad tecnológica nacional,arquitectura,courtney boyd,jose64@gmail.com,f,independencia,
1224,2020-06-05,1995-04-22,,universidad nacional de jujuy,licenciatura en ciencias antropológicas,john kidd,kevin18@yahoo.com,m,grutly,
1225,2019-12-26,1977-09-02,,universidad nacional de jujuy,licenciatura en ciencia política ,victoria smith,lodonnell@hotmail.com,f,campo horquesco,
1226,2019-12-13,1952-11-18,,universidad tecnológica nacional,diseño de imagen y sonido,paul rice,dstevenson@yahoo.com,m,algarrobo del aguila,
1227,2019-11-24,2019-06-12,,universidad tecnológica nacional,agronomía,elizabeth thomas,eduarte@yahoo.com,f,aero club rosario,
1228,2020-05-05,1952-05-26,,universidad nacional de jujuy,licenciatura en ciencias geológicas,jose white,stevencollins@gmail.com,m,agua colorada,
1229,2020-01-31,1906-10-27,,universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,michelle reyes,velezjohn@yahoo.com,f,el alto,
1230,2019-11-24,1994-07-29,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,paul floyd,loveamber@gmail.com,m,colonia san eduardo,
1231,2020-02-12,1959-02-09,,universidad tecnológica nacional,contador público ,travis cunningham,michellegonzalez@yahoo.com,m,algarrobo,
1232,2019-12-15,1959-04-21,,universidad tecnológica nacional,arquitectura,jeffery hartman,kingjohn@yahoo.com,m,cerro santa ana,
1233,2019-10-03,1942-09-23,,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,melinda sanchez,fmitchell@gmail.com,f,25 de mayo,
1234,2020-01-31,1977-08-25,,universidad tecnológica nacional,agronomía,cody kelley,davidking@hotmail.com,m,agua botada,
1235,2020-05-31,2006-04-09,,universidad tecnológica nacional,licenciatura en ciencias geológicas,lori sanchez,andrewbrown@hotmail.com,f,caichue,
1236,2020-05-03,1944-01-24,,universidad nacional de jujuy,ingeniería en informática,william myers,zwilson@hotmail.com,m,barrio jardin luzuriaga,
1237,2020-06-18,1995-08-03,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,louis williams,mistycollins@gmail.com,m,buena esperanza,
1238,2019-11-04,1944-07-05,,universidad tecnológica nacional,licenciatura en musicoterapia,joshua green,alexanderbuchanan@hotmail.com,m,aguara grande,
1239,2020-03-06,2007-09-06,,universidad tecnológica nacional,licenciatura en ciencias de la computación,nancy miller,bpark@yahoo.com,f,chacras viejas,
1240,2019-11-05,1981-06-05,,universidad nacional de jujuy,licenciatura en terapia ocupacional,clifford gonzalez,mayerpatricia@hotmail.com,m,alicura,
1241,2020-01-04,1930-08-08,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,jennifer davis,edwardsbeth@hotmail.com,f,arroyo mal paso,
1242,2019-11-30,1921-02-22,,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,brenda johnson,twhitehead@gmail.com,f,aguada a pique,
1243,2020-03-02,1941-05-21,,universidad tecnológica nacional,licenciatura en ciencias de la educación ,jessica gonzalez,mcmillanwilliam@hotmail.com,f,baños pismanta,
1244,2020-06-12,1927-03-03,,universidad nacional de jujuy,licenciatura en ciencia política ,benjamin brown,deanwheeler@hotmail.com,m,aparicio,
1245,2020-07-09,1944-08-01,,universidad tecnológica nacional,diseño industrial,sherry mccoy,leslie33@hotmail.com,f,colonia dos rosas y la legua,
1246,2019-12-21,2020-03-15,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,brandon gibson,mary96@gmail.com,m,arrascaeta,
1247,2019-11-24,1975-12-07,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,kaitlin sullivan,amy11@yahoo.com,f,aguadita,
1248,2020-05-30,2008-11-03,,universidad tecnológica nacional,diseño de imagen y sonido,steven mcclure,karenlove@gmail.com,m,libano,
1249,2019-12-06,1908-03-24,,universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,monica davis,ohines@gmail.com,f,colonia la marta,
1250,2020-02-12,1969-10-19,,universidad nacional de jujuy,licenciatura en artes,corey cain,ibrown@yahoo.com,m,cañada de las ovejas,
1251,2019-11-06,2012-06-18,,universidad tecnológica nacional,licenciatura en sociología ,sarah thomas,erik99@yahoo.com,f,algarrobo,
1252,2019-12-24,1936-01-30,,universidad tecnológica nacional,bioquímica,denise thompson,bishopcasey@hotmail.com,f,abra,
1253,2019-11-19,1968-12-03,,universidad nacional de jujuy,licenciatura en musicoterapia,robert farley,karenmartin@hotmail.com,m,mecha,
1254,2019-10-06,1944-10-24,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,theresa luna,lspencer@hotmail.com,f,amilgancho,
1255,2020-03-30,2012-05-07,,universidad nacional de jujuy,licenciatura en producción de bioimagenes,lori townsend,belindathomas@gmail.com,f,chelforo,
1256,2020-07-05,1944-01-04,,universidad nacional de jujuy,contador público ,katherine thomas,joshua46@hotmail.com,f,el pingo,
1257,2020-04-02,1911-05-07,,universidad nacional de jujuy,licenciatura en administración ,sarah green,leonardryan@gmail.com,f,arroyo guilaia,
1258,2019-12-18,1958-04-07,,universidad tecnológica nacional,agronomía,christian gomez,josephmiles@yahoo.com,m,atahualpa,
1259,2020-07-19,1992-08-26,,universidad nacional de jujuy,ingeniería en informática,theresa patrick,dfischer@hotmail.com,f,bouquet,
1260,2020-02-16,1922-07-14,,universidad nacional de jujuy,diseño industrial,william burke,kholmes@yahoo.com,m,el trio,
1261,2019-11-14,2018-07-29,,universidad tecnológica nacional,ingeniería mecánica,david flowers,gmoore@gmail.com,m,aldea san jorge,
1262,2020-05-08,2004-05-29,,universidad tecnológica nacional,ingeniería mecánica,robert gonzalez dvm,andrew59@hotmail.com,m,sarandi,
1263,2020-06-11,1958-01-10,,universidad nacional de jujuy,diseño industrial,barbara campbell,rachel12@yahoo.com,f,chavarria,
1264,2020-06-04,1988-06-02,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,karen carter,jenniferthomas@hotmail.com,f,campo botto,
1265,2020-04-30,1976-12-09,,universidad nacional de jujuy,licenciatura en ciencias biológicas,robert gomez,huntersharon@gmail.com,m,destileria fiscal,
1266,2020-02-21,1945-03-31,,universidad nacional de jujuy,licenciatura en ciencias geológicas,bonnie manning,adamsbarbara@gmail.com,f,alcete,
1267,2019-11-14,1949-05-19,,universidad tecnológica nacional,licenciatura en ciencias antropológicas,gwendolyn wilkins,michael83@gmail.com,f,capayan,
1268,2019-12-06,2016-03-01,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,patrick williams,aguirresamantha@gmail.com,m,bella vista,
1269,2019-11-29,1932-08-01,,universidad tecnológica nacional,ciencias veterinarias,meghan miller,amyoliver@gmail.com,f,emilio lamarca,
1270,2020-02-01,1965-09-09,,universidad nacional de jujuy,actuario ,kim gay,ericharmon@yahoo.com,f,los polvorines,
1271,2019-12-24,1915-12-27,,universidad tecnológica nacional,licenciatura en terapia ocupacional,gary jackson,othomas@hotmail.com,m,almirante brown,
1272,2020-05-22,1986-08-25,,universidad tecnológica nacional,contador público ,anthony mahoney,andersonkatherine@yahoo.com,m,rincon de milberg,
1273,2020-04-19,1957-03-20,,universidad nacional de jujuy,licenciatura en sociología ,latasha arroyo,stevethomas@gmail.com,f,alto del saladillo,
1274,2020-06-16,1957-03-06,,universidad tecnológica nacional,licenciatura en psicología,cheryl cummings,gabrielle93@gmail.com,f,barrio 1 de mayo,
1275,2019-11-19,2003-08-17,,universidad nacional de jujuy,arquitectura,brandon johnston,trevorpayne@yahoo.com,m,costa del rio azul,
1276,2020-04-25,1909-04-05,,universidad nacional de jujuy,técnico para bioterios ,brian morales,monica13@gmail.com,m,la bilbaina,
1277,2019-10-07,1916-06-11,,universidad tecnológica nacional,licenciatura en administración ,robert brown,elizabeth52@gmail.com,m,ariel,
1278,2019-12-15,1993-07-26,,universidad tecnológica nacional,licenciatura en artes,morgan houston,debrathomas@gmail.com,f,campana,
1279,2019-11-19,1998-09-07,,universidad tecnológica nacional,licenciatura en musicoterapia,bryan paul,anthonylloyd@gmail.com,m,villa saboya,
1280,2020-03-07,1931-07-24,,universidad nacional de jujuy,licenciatura en terapia ocupacional,melvin caldwell,xmccoy@yahoo.com,m,la oriental,
1281,2020-05-08,1913-08-24,,universidad tecnológica nacional,ingeniería mecánica,nicole george,calvin77@yahoo.com,f,alma grande,
1282,2020-03-04,2008-11-24,,universidad nacional de jujuy,farmacia,matthew wade,roseroy@hotmail.com,m,carrizales,
1283,2020-06-20,2007-08-28,,universidad nacional de jujuy,licenciatura en terapia ocupacional,kayla garcia,craigsnyder@gmail.com,f,colhue huapi,
1284,2019-10-02,1996-05-13,,universidad tecnológica nacional,ingeniería mecánica,shannon powell,angelamiller@hotmail.com,f,aguara,
1285,2020-07-27,2008-04-26,,universidad nacional de jujuy,diseño industrial,jessica vargas,michaelgutierrez@hotmail.com,f,arroyo corto,
1286,2020-01-15,1912-02-01,,universidad nacional de jujuy,licenciatura en producción de bioimagenes,rita west,ellenhodges@gmail.com,f,berabevu,
1287,2020-02-24,2003-07-25,,universidad nacional de jujuy,licenciatura en administración ,kristine marquez,hickmanelizabeth@gmail.com,f,el tala,
1288,2020-04-13,1952-11-02,,universidad tecnológica nacional,licenciatura en ciencias geológicas,tyler hernandez,velezlauren@yahoo.com,m,abralaite,
1289,2020-01-24,1951-11-24,,universidad nacional de jujuy,ingeniería electrónica,judy zimmerman,angelaconway@gmail.com,f,favelli,
1290,2020-05-25,1964-05-20,,universidad nacional de jujuy,licenciatura en ciencia política ,jeremy gonzales,ronaldreilly@gmail.com,m,villars,
1291,2020-08-01,1931-09-02,,universidad nacional de jujuy,actuario ,nathaniel dixon,andrewclark@hotmail.com,m,coronel isleños,
1292,2020-01-06,1956-12-10,,universidad nacional de jujuy,licenciatura en producción de bioimagenes,jasmine anderson,nchapman@hotmail.com,f,arroyo castillo,
1293,2020-04-03,1984-07-15,,universidad nacional de jujuy,licenciatura en ciencias biológicas,mathew jackson,john70@gmail.com,m,aparzo,
1294,2020-06-28,1994-08-21,,universidad tecnológica nacional,agronomía,veronica carson,amythomas@yahoo.com,f,colonia avellaneda,
1295,2020-04-22,1928-01-19,,universidad tecnológica nacional,licenciatura en ciencia política ,joseph monroe,anthonymason@yahoo.com,m,bahia creek,
1296,2020-06-11,1950-12-29,,universidad nacional de jujuy,diseño de imagen y sonido,lori martin,liukatie@gmail.com,f,la punta,
1297,2019-10-07,2012-02-16,,universidad tecnológica nacional,técnico para bioterios ,andrew buck md,brian82@hotmail.com,m,adrian maturano,
1298,2020-07-02,2014-12-18,,universidad tecnológica nacional,licenciatura en artes,shannon galloway,keith17@hotmail.com,f,esc nav militar rio sant,
1299,2020-06-02,1940-08-01,,universidad nacional de jujuy,bioquímica,jeremy miller,grosscory@gmail.com,m,abra mayo,
1300,2020-02-03,1952-07-16,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,jasmine medina,rodriguezjames@gmail.com,f,villa manzano,
1301,2020-06-12,1951-08-19,,universidad tecnológica nacional,contador público ,michael reed,michelle15@hotmail.com,m,cañadon lagarto,
1302,2020-07-23,1961-02-16,,universidad nacional de jujuy,licenciatura en ciencias biológicas,amber silva,simpsondeborah@hotmail.com,f,membrillar,
1303,2019-10-12,2019-12-02,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,taylor ellis,alexander91@hotmail.com,f,alabama,
1304,2020-06-27,1928-03-23,,universidad tecnológica nacional,licenciatura en psicología,melissa nguyen,angelaadkins@gmail.com,f,cululu,
1305,2019-11-06,1974-08-04,,universidad tecnológica nacional,diseño de imagen y sonido,joe maldonado,jking@hotmail.com,m,alagon,
1306,2020-03-23,1951-11-09,,universidad nacional de jujuy,farmacia,samuel barnes,lisa05@yahoo.com,m,lavalle,
1307,2020-02-08,2020-06-25,,universidad nacional de jujuy,ingeniería mecánica,timothy jordan,xflores@gmail.com,m,ambas puntillas,
1308,2020-06-23,1998-06-18,,universidad nacional de jujuy,ingeniería electrónica,summer nguyen,greencasey@hotmail.com,f,bolivar,
1309,2020-02-12,1935-05-08,,universidad nacional de jujuy,farmacia,ronald alexander,sreed@gmail.com,m,la aguada de las animas,
1310,2019-12-30,2020-10-29,,universidad tecnológica nacional,actuario ,chad evans,perezkayla@hotmail.com,m,bocas,
1311,2020-05-18,2000-03-10,,universidad tecnológica nacional,licenciatura en ciencias de la computación,angela carroll,danielreed@gmail.com,f,campo coubert,
1312,2020-01-08,2004-01-07,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,holly romero,lauraevans@hotmail.com,f,arroyo tomas,
1313,2019-12-09,2014-07-13,,universidad tecnológica nacional,ingeniería en informática,joseph rangel,cole52@yahoo.com,m,bella union paraje,
1314,2020-06-11,1919-07-31,,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,mrs. emily sharp,coxwhitney@yahoo.com,f,agote,
1315,2020-03-31,1951-04-10,,universidad tecnológica nacional,farmacia,eric wilson,morganbrown@gmail.com,m,carandaiti,
1316,2020-04-22,1936-10-05,,universidad tecnológica nacional,agronomía,robin baxter,michelle66@yahoo.com,f,el brete,
1317,2020-02-22,1941-11-26,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,whitney mcpherson,smartin@gmail.com,f,arroyo quilla,
1318,2019-12-31,1956-06-02,,universidad nacional de jujuy,diseño industrial,andrew williams,qhenson@hotmail.com,m,avanzada,
1319,2020-05-04,1981-10-24,,universidad nacional de jujuy,licenciatura en psicología,ronald robinson,nicholsonchristina@gmail.com,m,arroyo el mocho,
1320,2020-05-25,1907-03-21,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,christina wheeler,mcintyrecrystal@gmail.com,f,campo calvo,
1321,2020-03-12,2019-06-14,,universidad tecnológica nacional,ciencias veterinarias,heather phillips,brownjanice@yahoo.com,f,campo botto,
1322,2019-10-30,1936-06-02,,universidad nacional de jujuy,ingeniería mecánica,edward collins,cgraves@hotmail.com,m,bahia solano,
1323,2020-01-10,1931-09-06,,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,heather thompson,olopez@yahoo.com,f,el sombrerito,
1324,2020-07-24,2007-01-21,,universidad tecnológica nacional,licenciatura en ciencias geológicas,scott diaz,olsonsamantha@hotmail.com,m,colonia avellaneda,
1325,2020-03-23,1937-07-18,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,franklin lewis,codydelgado@yahoo.com,m,colonia cunci,
1326,2020-06-05,1980-04-11,,universidad tecnológica nacional,bioquímica,michael pruitt,davishannah@gmail.com,m,benitez,
1327,2020-06-27,1909-07-01,,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,stephanie wagner,victor11@yahoo.com,f,campo yaguarete,
1328,2019-10-20,1981-09-24,,universidad tecnológica nacional,farmacia,allison smith,kathryn05@gmail.com,f,baradero,
1329,2020-04-05,2019-06-30,,universidad tecnológica nacional,contador público ,jasmine baker,michael36@gmail.com,f,abipones,
1330,2019-10-22,1932-01-13,,universidad nacional de jujuy,diseño industrial,david gray,heatherwallace@hotmail.com,m,la viticola,
1331,2020-01-16,1998-09-23,,universidad tecnológica nacional,técnico para bioterios ,emily ballard,jhernandez@gmail.com,f,aromos,
1332,2019-11-15,2000-07-13,,universidad nacional de jujuy,actuario ,sue daniels,lori23@yahoo.com,f,agua los matos,
1333,2020-01-29,2011-02-07,,universidad tecnológica nacional,ciencias veterinarias,katelyn wu,jessicaryan@hotmail.com,f,arroyo casco,
1334,2019-10-25,2016-12-11,,universidad tecnológica nacional,licenciatura en terapia ocupacional,melissa walsh,dawnmartin@gmail.com,f,cañadon caliente,
1335,2019-11-20,1917-09-21,,universidad nacional de jujuy,ingeniería en informática,stephen wilson,jason71@gmail.com,m,caminera lujan,
1336,2020-06-17,1985-01-11,,universidad nacional de jujuy,ciencias veterinarias,mr. eric johnson,kwilliams@gmail.com,m,dos hermanas,
1337,2020-05-20,1994-08-09,,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,kimberly fischer,katherinealexander@gmail.com,f,drabble,
1338,2019-12-10,1924-08-07,,universidad nacional de jujuy,licenciatura en relaciones del trabajo ,joe torres,acastillo@gmail.com,m,amambay,
1339,2019-11-22,1996-12-07,,universidad nacional de jujuy,medicina,elizabeth gray,grossjill@yahoo.com,f,cangrejillos,
1340,2020-03-05,1945-10-17,,universidad tecnológica nacional,medicina,corey white,mariegibson@gmail.com,m,gregorio de laferrere,
1341,2020-02-26,1976-03-14,,universidad nacional de jujuy,licenciatura en ciencias de la computación,maureen fernandez,kathy39@gmail.com,f,bernardo de irigoyen,
1342,2020-02-14,1947-02-13,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,linda moore,wilsonkelly@yahoo.com,f,haedo,
1343,2020-06-07,2020-01-02,,universidad tecnológica nacional,actuario ,julia harper,johnbishop@yahoo.com,f,el jaguel,
1344,2019-12-05,1999-10-10,,universidad tecnológica nacional,arquitectura,natalie carpenter,rhodesjennifer@gmail.com,f,cañada de las ovejas,
1345,2019-10-23,2004-12-15,,universidad nacional de jujuy,técnico para bioterios ,tamara santiago,hclark@yahoo.com,f,alto los cardales,
1346,2020-02-12,1966-12-23,,universidad tecnológica nacional,técnico para bioterios ,jennifer williams,jnicholson@yahoo.com,f,carlos spegazzini,
1347,2019-11-20,1990-04-28,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,andrea townsend,chadprice@hotmail.com,f,arroyo santa maria,
1348,2019-12-17,2012-02-10,,universidad tecnológica nacional,licenciatura en artes,jason vazquez,madelinedavenport@yahoo.com,m,fortin irene,
1349,2020-01-12,2006-08-30,,universidad tecnológica nacional,arquitectura,carol irwin,zgarcia@hotmail.com,f,arroyo claro,
1350,2020-07-26,1921-10-15,,universidad tecnológica nacional,técnico para bioterios ,kerry maddox,dawnhall@gmail.com,m,arturo vatteone,
1351,2020-04-28,1998-05-02,,universidad nacional de jujuy,ingeniería en informática,gary palmer,hflynn@gmail.com,m,bagual,
1352,2019-12-14,1909-02-26,,universidad tecnológica nacional,diseño de imagen y sonido,amy gonzalez,huberrobert@gmail.com,f,agrio balsa,
1353,2019-10-22,1957-02-18,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,brittany winters,fischerveronica@yahoo.com,f,general san martin,
1354,2019-10-28,1970-01-19,,universidad nacional de jujuy,contador público ,sarah price,fcallahan@hotmail.com,f,azteazu,
1355,2020-06-28,1923-03-14,,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,john schneider,espinozamatthew@yahoo.com,m,estacion moreno,
1356,2020-04-08,1999-08-10,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,kristina molina,david24@hotmail.com,f,azul,
1357,2020-05-07,2009-09-20,,universidad nacional de jujuy,licenciatura en ciencias geológicas,ryan austin,smithjamie@gmail.com,m,goyena,
1358,2019-12-07,1953-09-28,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,christopher hernandez,emmathompson@yahoo.com,m,angostura,
1359,2020-02-05,2002-02-07,,universidad tecnológica nacional,licenciatura en psicología,laura osborne,bellcody@yahoo.com,f,alpachiri,
1360,2020-01-08,1972-09-21,,universidad nacional de jujuy,licenciatura en psicología,haley martinez,campbelljessica@gmail.com,f,colonia ensanche sauce,
1361,2020-05-19,1950-11-24,,universidad nacional de jujuy,licenciatura en psicología,jimmy brooks,jeffstewart@gmail.com,m,cabral,
1362,2019-10-02,1950-07-25,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,michael christian,kendrarodriguez@hotmail.com,m,estacion christophersen,
1363,2020-03-23,1926-02-12,,universidad nacional de jujuy,licenciatura en ciencias geológicas,joseph mack,donovangary@gmail.com,m,francisco paz,
1364,2020-05-01,1982-10-10,,universidad tecnológica nacional,licenciatura en sociología ,alexis thompson,smithjenny@yahoo.com,f,bombal,
1365,2020-07-23,1941-02-28,,universidad nacional de jujuy,contador público ,christy novak,rmitchell@yahoo.com,f,campo garabato,
1366,2019-10-29,1907-12-15,,universidad tecnológica nacional,agronomía,sheena roberson,zolson@gmail.com,f,achaval rodriguez,
1367,2020-03-13,1982-05-23,,universidad nacional de jujuy,medicina,nicole simpson,joyce10@gmail.com,f,villa martelli,
1368,2020-07-25,1956-09-21,,universidad nacional de jujuy,licenciatura en ciencias antropológicas,gavin carrillo,michealobrien@yahoo.com,m,estrada,
1369,2020-06-22,1907-01-09,,universidad tecnológica nacional,licenciatura en musicoterapia,madeline perez,vgillespie@gmail.com,f,aguada,
1370,2020-05-28,2013-09-27,,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,kristine larson,heather51@gmail.com,f,casimiro gomez,
1371,2020-02-03,1996-01-09,,universidad tecnológica nacional,ingeniería electrónica,eric myers,carrie62@gmail.com,m,el tropezon,
1372,2020-05-26,1979-09-16,,universidad nacional de jujuy,licenciatura en ciencias de la educación ,pamela miller,joshua53@hotmail.com,f,maria magdalena,
1373,2020-07-26,1965-08-10,,universidad tecnológica nacional,diseño industrial,jodi porter,stonemark@yahoo.com,f,aldao,
1374,2020-06-20,2003-03-29,,universidad nacional de jujuy,licenciatura en artes,matthew perry,qwest@hotmail.com,m,base naval rio santiago,
1375,2019-12-12,1946-11-27,,universidad nacional de jujuy,farmacia,virginia wagner,frostbrian@gmail.com,f,las palmas,
1376,2019-11-09,1977-06-13,,universidad tecnológica nacional,ingeniería en informática,philip chapman,aprilhamilton@yahoo.com,m,cañadon lagarto,
1377,2020-04-21,2020-04-09,,universidad nacional de jujuy,agronomía,jeffery martin,bautistashane@hotmail.com,m,arroyo molino,
1378,2019-11-22,1978-02-17,,universidad nacional de jujuy,agronomía,deborah logan,maria54@yahoo.com,f,ayacucho,
1379,2020-01-12,1941-06-16,,universidad nacional de jujuy,licenciatura en ciencias antropológicas,annette ferguson,jeffreyjohnson@yahoo.com,f,campo yaguarete,
1380,2020-06-08,1920-10-05,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,connie jones,stanleyacosta@gmail.com,f,el carmen,
1381,2020-05-11,1955-01-11,,universidad nacional de jujuy,licenciatura en ciencia política ,tammy green,laurieroberson@yahoo.com,f,colonia zambungo,
1382,2019-12-19,1967-06-13,,universidad nacional de jujuy,licenciatura en artes,michelle gallagher,martinezdeborah@yahoo.com,f,barrio indio trompa,
1383,2020-03-02,1930-05-13,,universidad tecnológica nacional,licenciatura en artes,maria stanley,fstanley@gmail.com,f,colonia roca,
1384,2019-10-02,2011-08-16,,universidad tecnológica nacional,licenciatura en ciencia política ,mario boyle,acollins@hotmail.com,m,escuela agricola don bosco,
1385,2020-04-23,1975-01-01,,universidad tecnológica nacional,licenciatura en producción de bioimagenes,steven hernandez,tlindsey@hotmail.com,m,saldungaray,
1386,2020-03-31,1979-02-15,,universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,rebecca hamilton,julie58@hotmail.com,f,caraguatay,
1387,2020-07-13,1918-06-26,,universidad tecnológica nacional,ingeniería en informática,paul thompson,katelyn05@hotmail.com,m,florentino ameghino,
1388,2019-10-22,1995-04-02,,universidad tecnológica nacional,diseño de imagen y sonido,phillip cox,cherylgonzales@gmail.com,m,caaguazu,
1389,2020-07-20,1976-09-24,,universidad nacional de jujuy,licenciatura en terapia ocupacional,chad dickerson,jfranklin@hotmail.com,m,colonia los sauces,
1390,2019-11-17,1949-03-18,,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,erika sanders,xperry@gmail.com,f,bonpland norte,
1391,2019-11-12,1930-07-26,,universidad nacional de jujuy,arquitectura,laura watson,urobinson@hotmail.com,f,ancon,
1392,2019-12-12,1941-02-20,,universidad nacional de jujuy,ingeniería electrónica,lawrence fernandez,gutierrezbrian@yahoo.com,m,4 de febrero,
1393,2020-04-26,1961-05-24,,universidad tecnológica nacional,diseño de imagen y sonido,alexander morales,howardelizabeth@gmail.com,m,bajo la cancha,
1394,2020-06-21,1955-12-29,,universidad tecnológica nacional,licenciatura en ciencias ambientales,richard lee,michael88@hotmail.com,m,franklin,
1395,2019-12-15,2009-06-13,,universidad tecnológica nacional,diseño de imagen y sonido,nathan gonzalez,phillip21@gmail.com,m,agustin mosconi,
1396,2020-07-31,1943-08-14,,universidad nacional de jujuy,medicina,randy bowman,cjacobs@hotmail.com,m,abalo,
1397,2019-10-26,1970-10-03,,universidad nacional de jujuy,ingeniería mecánica,sarah perry,angela45@gmail.com,f,agustoni,
1398,2020-03-16,1957-12-27,,universidad tecnológica nacional,actuario ,brenda greene,buckleyallison@gmail.com,f,aldea brasilera,
1399,2020-03-25,1982-01-13,,universidad nacional de jujuy,licenciatura en psicología,dale rice,tara17@yahoo.com,m,colonia san eduardo,
1400,2020-06-21,1948-01-06,,universidad nacional de jujuy,ciencias veterinarias,aaron miller,kimberly02@hotmail.com,m,balsa,
1401,2019-11-22,1995-10-11,,universidad tecnológica nacional,ingeniería en informática,mark lane,keithevans@gmail.com,m,villars,
1402,2020-06-30,1937-08-20,,universidad nacional de jujuy,arquitectura,dawn martin,martin43@yahoo.com,f,las quintas,
1403,2020-03-23,1978-05-18,,universidad nacional de jujuy,licenciatura en gestión de agroalimentos,brian king,catherine52@gmail.com,m,maggiolo,
